,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,warranty,msoffice,Price,rating,Number of Ratings,Number of Reviews
420,310,1,20,110,220,400,0,1024,500,64,1,0,46990,4,1444,179
421,370,1,20,110,220,400,0,1024,500,64,2,0,52990,4,1114,137
422,320,1,20,140,220,400,0,1024,500,32,0,0,57999,3,0,0
423,320,1,20,170,220,440,0,1024,500,64,0,0,52490,3,78,17
424,320,1,20,150,220,400,0,1024,500,64,1,0,56990,4,21,5
425,330,1,20,150,220,400,0,1024,500,64,1,0,61990,4,73,21
426,360,1,20,130,220,400,0,1024,500,32,0,0,58090,3,0,0
427,310,1,20,110,220,400,0,1024,500,64,0,0,56990,3,0,0
428,330,1,20,150,220,400,0,1024,500,64,1,0,61597,3,0,0
429,310,1,20,150,220,400,0,1024,500,64,0,0,81990,3,0,0
430,310,1,20,110,220,400,0,1024,500,64,0,0,61249,3,0,0
431,360,1,20,130,220,400,0,1024,500,32,0,0,58990,3,0,0
432,310,1,20,110,220,400,0,1024,500,64,0,0,83990,3,0,0
433,370,1,20,110,220,410,0,512,510,32,0,0,291190,4,7,3
434,370,1,20,110,220,410,0,512,510,32,0,0,145990,4,715,106
435,370,1,20,110,220,410,0,512,510,32,0,0,179990,4,24,5
436,350,1,20,150,220,400,0,1024,500,64,1,1,64990,4,23,4
437,350,1,20,150,220,400,0,1024,500,64,1,0,46790,4,3062,325
438,350,1,20,140,210,400,0,1024,500,64,1,0,44599,4,122,12
439,330,1,20,150,220,400,0,1024,500,64,1,0,72964,4,18,6
440,350,1,20,110,220,400,0,1024,500,32,1,1,48790,3,11,1
441,330,1,20,110,220,400,0,1024,500,64,1,0,56491,3,30,6
442,310,1,20,130,220,400,256,1024,500,32,1,1,50990,4,1188,127
443,310,1,20,110,220,400,256,1024,500,64,0,0,55990,4,23,0
444,330,1,20,130,220,400,256,1024,500,64,1,0,57990,4,32,1
445,310,1,20,130,220,400,256,1024,500,64,1,0,52990,3,0,0
446,360,1,20,130,220,400,256,1024,500,64,1,0,57990,4,47,0
447,330,1,20,130,220,400,256,1024,500,64,1,0,56990,4,27,2
448,330,1,20,130,220,400,256,1024,500,64,0,0,55490,3,8,3
449,360,1,20,130,220,400,256,1024,500,64,1,0,62490,3,157,20
450,310,1,20,130,230,400,256,1024,500,64,1,0,64990,4,10,1
451,320,1,20,130,220,400,256,1024,500,64,1,1,59990,4,52,4
452,310,1,20,130,220,400,256,1024,500,64,1,1,60190,4,33,4
453,310,1,20,160,220,400,256,1024,500,64,0,0,54490,4,343,47
454,320,1,20,160,220,400,256,1024,500,64,1,1,60990,4,131,17
455,360,1,20,130,210,400,256,1024,500,64,1,1,55790,4,41,4
456,310,1,20,130,230,400,256,1024,500,64,1,1,64990,4,328,51
457,310,1,20,130,230,400,256,1024,500,64,0,0,58990,4,6,1
458,360,1,20,130,220,400,256,1024,500,64,1,1,54990,3,353,28
459,350,1,20,130,220,400,256,1024,500,64,1,1,71990,4,127,20
460,360,1,20,130,220,400,256,1024,500,64,1,0,69900,3,0,0
461,320,1,20,130,220,400,256,1024,500,64,1,1,65990,4,241,19
462,310,1,20,130,220,400,256,1024,500,64,1,0,49990,3,22,2
463,360,1,20,130,220,400,256,1024,500,64,1,1,58990,4,8,1
464,320,1,20,110,220,400,256,1024,500,64,0,0,74590,4,898,128
465,310,1,20,110,220,400,256,1024,500,32,0,0,58990,5,1,1
466,310,1,20,130,220,400,256,1024,500,64,1,0,64990,3,0,0
467,360,1,20,130,220,400,256,1024,500,64,0,0,66490,3,6,1
468,360,1,20,110,220,400,256,1024,500,64,0,0,77900,4,179,34
469,360,1,20,130,220,400,256,1024,500,64,0,0,67490,3,41,5
470,360,1,20,130,220,400,256,1024,500,64,1,1,61990,3,0,0
471,360,1,20,130,220,400,256,1024,500,64,1,1,58990,4,114,9
472,320,1,20,110,220,400,256,1024,500,64,0,0,74999,4,268,25
473,310,1,20,130,220,400,256,1024,500,64,1,1,68900,5,6,1
474,360,1,20,130,220,400,256,1024,500,64,0,0,71695,4,153,16
475,330,1,20,130,230,400,256,1024,500,64,0,0,62490,3,8,0
